ID,T1extavg,T2extavg,T3extavg_imp,T4extavg_imp
134,-13,-15,-12.27327626,-19.0129674
142,-14,-11.5,-15.05476433,-17.94466622
99,-12,-11,-13.44647281,-11.61919826
91,-20,-16,-23.72502825,-20.44900676
138,-12,-10.5,-12.89340517,-8
177,-16.5,-19.5,-16,-20.5
116,-23.5,-21.5,-20.5,-21.89341842
59,-31,-26.5,-26,-30.5
50,-17,-25.5,-18,-17
90,-18.5,-18,-12.5,-14
130,-17,-13,-12,-17.5
178,-18.5,-14,-26.5,-25
179,-32,-27.5,-35,-41.5
176,-13.5,-10.5,-13.5,-13.56754735
45,-18,-18.5,-14,-19
20,-8.5,-13.5,-7.5,-10
48,-18.5,-21.5,-27.5,-19.5
21,-9.5,-8.5,-5,-3.5
129,-11.5,-11.5,-10.5,-12.5
104,-16,-16.5,-12.5,-16.35478083
143,-8.5,-6.5,-6,-7
148,-23,-33,-34,-25
121,-1.5,-2.5,-4,-1
56,-18,-16,-15.5,-10
1,-25,-19,-16.5,-13
22,-4,-3,-2,-2.5
23,-8,-4.5,-12,-16
57,-12.5,-8.5,-10,-7
64,-22,-17.5,-44.5,-15.5
52,-5,-8.5,-6.5,-6.5
27,-2,-2,-1.5,0
29,-3,-6,0,-2.11217003
58,-4,0,-1,-3
