-13.5,-26,-22.75897035,-26.51162404
-20.5,-22.5,-24.12501055,-24.64369242
-15,-18,-18.47689861,-20.08456927
-7.5,-11.5,-12.64544261,-10.44593088
-10,-6.5,-7.349447499,-6.5
-39.5,-44,-34.5,-39
-30.5,-30,-27.5,-30.63337499
-19,-25,-25,-19
-18,-25.5,-24.5,-33
-22,-23,-24,-25.5
-15,-23,-22.5,-27.5
-16,-18.5,-21,-25.5
-18.5,-24,-18,-20.5
-16,-15,-18,-13.13786119
-20,-22.5,-16.5,-16
-19,-25,-16,-20.5
-16,-18,-16,-15
-17.5,-14,-16,-14.5
-20,-14.5,-14,-15
-14,-14.5,-14,-15.44567738
-10.5,-9.5,-10.5,-10
-4.5,-8.5,-10.5,-9.5
-4,-7.5,-10.5,-6
-12,-15.5,-10,-5
-18.5,-11,-9.5,-10.5
-9,-7.5,-9.5,-10
-9,-7.5,-8,-12
-10,-5.5,-8,-11.5
-12.5,-13,-7.5,-10
-10.5,-12.5,-7.5,-13
-7,-9,-6.5,-9
-12.5,-9,-6,-11.71803257
-23,-7,-4.5,-17.5
