ID,T1intavg,T2intavg,T3intavg_imp,T4intavg_imp
188,-18.5,-15,-12.04493209,-10.88373185
13,-17,-14.5,-13.07724532,-17.00210483
95,-23.5,-14,-18.85859995,-16.61609383
88,-10.5,-14,-10.85010707,-13.49080083
32,-12,-13,-7.838027352,-9.848742553
34,-10,-13,-18.93267396,-22.5
87,-18,-12,-11.93546747,-8
100,-3,-2.5,-7.607714364,-4
65,-28,-24,-24,-28.70143744
8,-23.5,-21,-24,-25.53985938
62,-14.5,-17.5,-18.5,-23.5
175,-39,-27.5,-18,-13.5
33,-15.5,-13.5,-17.5,-16
136,-21,-10.5,-16.5,-14
74,-6.5,-9,-16.5,-14.5
30,-27,-14,-14.5,-13.5
44,-11.5,-11,-14,-16
86,-25.5,-7,-12.5,-5
173,-6,-8.5,-12,-12
167,-11.5,-4,-11.5,-13.72068831
122,-13,-11,-10.5,-9
161,-9,-8.5,-10.5,-11.5
107,-4.5,-4.5,-10.5,-8.5
182,-11.5,-17.5,-10,-11.19285247
92,-13,-13.5,-10,-11
17,-13.5,-12.5,-10,-11
110,-10.5,-7.5,-9.5,-12.5
71,-10,-8,-8.5,-11
139,-6,-5,-8.5,-7
181,-20.5,-8.5,-7,-7.5
46,-10,-16,-6,-7.072681188
109,-4,-2,-3.5,-8
155,-3.5,-8,-3,-2
